@relation data_deci

@attribute y1 numeric
@attribute y2 numeric
@attribute y3 numeric
@attribute classification {NO_RAIN,RAIN}

@data
-800.7496,3704.9665,-884.596,NO_RAIN
-799.1708,3702.3001,-883.4398,NO_RAIN
-801.1354,3699.5415,-884.7141,NO_RAIN
-800.6421,3700.2069,-883.2239,NO_RAIN
-796.9496,3698.7098,-883.2863,NO_RAIN
-801.4542,3698.8032,-883.8687,NO_RAIN
-804.5829,3697.5108,-883.1512,NO_RAIN
-801.2988,3699.1087,-884.712,NO_RAIN
-790.3816,3704.3509,-884.8424,NO_RAIN
-761.2864,3707.4066,-884.6779,NO_RAIN
-762.4106,3708.2513,-884.7171,NO_RAIN
-750.7654,3711.3677,-884.4859,NO_RAIN
-716.2442,3709.4104,-883.8806,NO_RAIN
-723.5884,3699.0119,-884.3797,NO_RAIN
-737.0071,3690.0454,-885.9355,NO_RAIN
-731.4451,3690.0282,-884.8104,NO_RAIN
-749.4812,3689.0559,-884.9035,NO_RAIN
-740.6225,3692.4055,-882.8069,NO_RAIN
-765.7418,3691.0727,-883.0612,NO_RAIN
-779.1794,3690.2783,-884.6484,NO_RAIN
-786.1237,3688.4604,-884.8208,NO_RAIN
-788.9275,3682.8451,-885.9931,RAIN
-786.9383,3687.5636,-886.0559,NO_RAIN
-786.393,3688.2918,-887.8937,NO_RAIN
-789.3592,3694.4646,-887.9157,NO_RAIN
-794.7676,3690.9069,-884.1631,RAIN
-793.3596,3683.5985,-888.0413,NO_RAIN
-792.3262,3678.2803,-886.4778,RAIN
-793.3748,3679.5098,-886.6517,RAIN
-792.4126,3680.3887,-886.8492,RAIN
-792.4593,3678.6503,-887.1846,RAIN
-789.2128,3677.3029,-886.709,RAIN
-783.8488,3678.764,-889.6557,NO_RAIN
-771.1145,3676.9313,-890.4865,NO_RAIN
-759.385,3673.074,-890.8115,NO_RAIN
-749.7773,3669.1663,-891.4265,RAIN
-722.6765,3671.4153,-889.5475,RAIN
-702.6077,3671.9062,-889.9065,NO_RAIN
-704.412,3675.0433,-889.2168,NO_RAIN
-662.6039,3671.3288,-887.6252,NO_RAIN
-685.4243,3660.9104,-889.4264,NO_RAIN
-687.7271,3653.2484,-889.5087,NO_RAIN
-701.6048,3655.1678,-889.7831,NO_RAIN
-710.252,3652.9265,-890.0182,NO_RAIN
-727.2406,3647.5454,-891.7421,NO_RAIN
-732.0881,3648.6611,-891.7126,NO_RAIN
-734.6241,3659.1123,-891.9026,NO_RAIN
-735.2281,3658.2504,-892.3256,NO_RAIN
-738.3253,3656.4757,-892.2027,NO_RAIN
-740.3491,3654.1433,-892.7422,NO_RAIN
-742.1518,3652.5588,-891.5674,NO_RAIN
-744.406,3645.2807,-891.9682,NO_RAIN
-744.3285,3647.1662,-891.1896,NO_RAIN
-743.9977,3644.5397,-890.8972,NO_RAIN
-747.154,3648.2628,-890.6936,NO_RAIN
-751.2215,3635.9162,-832.8584,RAIN
-747.2586,3638.6209,-861.3464,RAIN
-736.481,3637.8145,-889.8478,RAIN
-709.3138,3640.4327,-891.4248,RAIN
-651.2341,3656.4709,-889.9596,NO_RAIN
-625.7621,3657.2078,-887.8953,NO_RAIN
-658.1612,3663.3204,-888.4237,NO_RAIN
-749.2273,3672.4387,-887.1719,NO_RAIN
-612.1477,3713.9066,-877.7596,NO_RAIN
-647.649,3693.0901,-882.4764,NO_RAIN
-701.8334,3693.4934,-883.2219,NO_RAIN
-715.0974,3700.9061,-882.4379,NO_RAIN
-741.1962,3699.1141,-883.7855,NO_RAIN
-762.9034,3690.5125,-884.83,NO_RAIN
-777.8973,3698.0619,-885.7205,NO_RAIN
-788.4327,3712.9547,-883.7313,NO_RAIN
-792.1739,3714.2769,-882.9699,NO_RAIN
-796.316,3711.735,-883.744,NO_RAIN
-801.4782,3712.2334,-884.8437,NO_RAIN
-808.8306,3703.5334,-883.2561,RAIN
-816.7457,3708.4402,-883.464,NO_RAIN
-817.6874,3712.6897,-881.6865,NO_RAIN
-820.0864,3714.2516,-881.492,NO_RAIN
-824.3193,3721.6968,-882.2295,NO_RAIN
-828.6478,3720.0685,-881.3117,NO_RAIN
-789.5968,3731.9378,-881.6866,NO_RAIN
-718.9766,3744.6369,-877.8397,NO_RAIN
-669.084,3756.7847,-876.9546,NO_RAIN
-647.2959,3762.5811,-876.7554,NO_RAIN
-603.213,3770.2479,-873.1483,NO_RAIN
-619.4467,3774.158,-871.7773,NO_RAIN
-589.2412,3768.638,-872.6541,NO_RAIN
-640.4077,3754.8858,-873.1961,NO_RAIN
-558.0673,3765.8533,-871.7709,NO_RAIN
-618.5641,3749.1516,-872.7021,NO_RAIN
-658.7581,3742.6043,-873.8346,NO_RAIN
-696.7604,3718.4577,-876.9721,NO_RAIN
-743.5624,3701.5406,-880.2519,NO_RAIN
-765.1843,3693.2631,-881.6297,NO_RAIN
-774.7344,3682.9472,-883.7532,NO_RAIN
-781.7283,3679.3577,-885.352,NO_RAIN
-789.9508,3677.2503,-885.5689,NO_RAIN
-799.2317,3677.088,-886.1354,NO_RAIN
-796.2278,3678.5625,-885.5022,NO_RAIN
-806.6868,3679.4029,-884.7967,NO_RAIN
-805.603,3681.8003,-884.7961,NO_RAIN
-816.5164,3682.1211,-884.084,NO_RAIN
-819.6465,3679.3601,-885.0131,NO_RAIN
-828.7026,3684.305,-884.0014,NO_RAIN
-772.1415,3684.6515,-884.3234,NO_RAIN
-689.324,3708.45,-881.275,NO_RAIN
-675.0614,3819.6077,-866.4741,NO_RAIN
-633.6704,3801.9315,-868.3833,NO_RAIN
-579.572,3816.8023,-865.5742,NO_RAIN
-560.6395,3801.039,-865.9702,NO_RAIN
-531.1933,3809.7865,-863.6644,NO_RAIN
-525.6586,3839.3686,-857.3637,NO_RAIN
-557.8219,3821.6281,-858.6558,NO_RAIN
-579.3925,3806.6965,-861.6797,NO_RAIN
-625.598,3796.1155,-862.9914,NO_RAIN
-720.5792,3798.1642,-866.371,NO_RAIN
-764.7688,3789.836,-867.3635,NO_RAIN
-793.4753,3786.5979,-870.7715,NO_RAIN
-816.6321,3742.9915,-877.3767,NO_RAIN
-830.9112,3733.9861,-878.5522,NO_RAIN
-836.7325,3722.2998,-880.045,NO_RAIN
-844.9078,3724.0211,-880.652,NO_RAIN
-849.6229,3719.377,-880.4528,NO_RAIN
-853.8329,3716.0587,-880.191,NO_RAIN
-857.9108,3718.1422,-880.165,NO_RAIN
-856.3532,3716.2545,-879.2326,NO_RAIN
-840.9741,3715.8088,-879.4051,NO_RAIN
-841.644,3709.4848,-880.5432,NO_RAIN
-780.2111,3717.9789,-880.0276,NO_RAIN
-693.8552,3752.4391,-875.4227,NO_RAIN
-642.7202,3761.7749,-873.3099,NO_RAIN
-587.1655,3813.6986,-866.414,NO_RAIN
-544.567,3823.5149,-863.0399,NO_RAIN
-536.1833,3832.3435,-861.5295,NO_RAIN
-498.9213,3836.7332,-858.9898,NO_RAIN
-481.3337,3820.4159,-859.7709,NO_RAIN
-531.9966,3807.5979,-860.7483,NO_RAIN
-552.7168,3777.206,-866.1233,NO_RAIN
-586.9757,3775.5736,-865.6971,NO_RAIN
-659.5327,3747.5591,-870.049,NO_RAIN
-709.0421,3709.7226,-877.6931,NO_RAIN
-731.3148,3715.3881,-876.4205,NO_RAIN
-749.5085,3681.6529,-882.8443,NO_RAIN
-733.9788,3665.5718,-884.6171,NO_RAIN
-740.1695,3660.8229,-885.2916,NO_RAIN
-748.8927,3659.0404,-886.1896,NO_RAIN
-752.8964,3654.3573,-885.7728,NO_RAIN
-762.0738,3659.4121,-885.4786,NO_RAIN
-771.8919,3630.3845,-888.7647,NO_RAIN
-781.0335,3634.4834,-887.276,NO_RAIN
-782.6399,3643.421,-887.0878,NO_RAIN
-774.6174,3642.3436,-886.8113,NO_RAIN
-741.4701,3638.9145,-887.4483,NO_RAIN
-670.2097,3643.9622,-886.7164,NO_RAIN
-634.9847,3686.7638,-879.1814,NO_RAIN
-612.4881,3703.9772,-878.1968,NO_RAIN
-609.5596,3705.8576,-878.1782,NO_RAIN
-552.9018,3726.2196,-871.7369,NO_RAIN
-516.3368,3733.5176,-869.9513,NO_RAIN
-523.6731,3748.6226,-866.2715,NO_RAIN
-542.9103,3734.6144,-868.5797,NO_RAIN
-561.2997,3746.0842,-866.6261,NO_RAIN
-614.2433,3737.5205,-867.3385,NO_RAIN
-660.2356,3713.0792,-872.0863,NO_RAIN
-709.3414,3704.9125,-875.1073,NO_RAIN
-722.9405,3665.8077,-880.2775,NO_RAIN
-731.4274,3656.6107,-882.5467,NO_RAIN
-739.0037,3658.0218,-882.7494,NO_RAIN
-742.9019,3646.1896,-885.52,NO_RAIN
-748.6822,3643.2798,-886.036,NO_RAIN
-740.6998,3640.2793,-885.5765,NO_RAIN
-746.883,3640.0181,-885.6486,NO_RAIN
-769.5779,3638.2563,-884.9711,NO_RAIN
-775.6227,3642.5864,-883.8676,NO_RAIN
-767.0843,3641.2531,-884.1756,NO_RAIN
-758.9554,3641.2814,-885.1094,NO_RAIN
-744.1579,3645.4251,-884.02,NO_RAIN
-721.1358,3650.7847,-884.3197,NO_RAIN
-682.768,3656.5969,-882.1969,NO_RAIN
-625.8604,3668.1722,-878.8557,NO_RAIN
-568.3503,3684.3369,-877.1946,NO_RAIN
-587.3303,3683.5241,-876.0339,NO_RAIN
-533.4257,3690.9814,-873.0909,NO_RAIN
-564.9219,3681.6023,-873.1303,NO_RAIN
-573.8683,3683.7155,-873.8569,NO_RAIN
-709.9256,3641.5105,-875.6988,RAIN
-720.3761,3629.0561,-812.5537,RAIN
-726.2066,3622.5018,-878.943,RAIN
-733.2415,3626.471,-875.5827,RAIN
-735.3325,3624.0346,-881.1562,RAIN
-738.4213,3624.0157,-885.4464,NO_RAIN
-735.7417,3623.9393,-885.4263,NO_RAIN
-737.0821,3624.4441,-877.1156,RAIN
-736.4711,3620.1778,-884.8158,RAIN
-735.8678,3615.2419,-885.0293,RAIN
-737.5864,3621.9848,-884.8201,NO_RAIN
-738.6637,3612.1036,-859.7239,RAIN
-735.1045,3611.2231,-883.9857,RAIN
-735.1296,3609.3071,-876.3164,RAIN
-734.2576,3608.9959,-883.0646,RAIN
-728.9734,3610.1743,-885.712,RAIN
-736.0854,3612.4753,-855.3344,RAIN
-737.0204,3596.8635,-662.0193,RAIN
-726.251,3609.4723,-879.7603,RAIN
-721.8485,3607.7706,-885.7637,RAIN
-692.371,3604.9043,-831.4365,RAIN
-658.6199,3615.0088,-883.8285,NO_RAIN
-656.5736,3609.1035,-883.6065,NO_RAIN
-652.9166,3617.6396,-882.162,NO_RAIN
-649.9131,3618.8063,-879.8101,NO_RAIN
-689.5565,3606.0429,-883.1867,NO_RAIN
-713.7491,3593.84,-861.5643,RAIN
-717.0112,3589.722,-864.5631,RAIN
-760.3698,3625.1586,-760.6801,RAIN
-754.9693,3628.635,-852.6448,RAIN
-755.3499,3636.2876,-883.8045,NO_RAIN
-751.7527,3633.5905,-884.6924,NO_RAIN
-751.956,3633.6911,-883.4609,RAIN
-752.7221,3632.5487,-884.5201,NO_RAIN
